claim,falsification_attempt,expected,result,evidence
D190 KAT,five pre-existing OEM validators,5 MATCH zero generated expected,PASS,test_five_historical_oem_known_answers_are_noncircular
PE identity,wrong SHA-256,STOP before backend or command,PASS,test_wrong_pe_stops_before_backend_or_command
PE parser,duplicate target pattern,STOP ambiguous,PASS,test_instruction_pattern_ambiguity_fails_closed
KAT integrity,mutated expected/secret,not MATCH,PASS,test_kat_and_secret_mutations_do_not_match
PSK E4,correct D190 V2,MATCH then A2 and TLS,PASS,test_correct_d190_vector_matches_and_same_buffer_reaches_tls
PSK E4,one-bit PSK mutation,STOP after E4 before A2,PASS,test_one_bit_psk_and_wrong_e4_stop_before_a2
PSK E4,wrong E4,STOP after E4 before A2,PASS,test_one_bit_psk_and_wrong_e4_stop_before_a2
PSK E4,wrong derived material,STOP secret boundary,PASS,test_wrong_derived_kat_stops
binder bypass,candidate success without compare_count 1,status cannot be MATCH/PASS gate,PASS,source review plus success report test
cached validator shortcut,search for cache/expected validator state,no cache and derive called at E4,PASS,source review RuntimePskE4Binder
PSK identity,TLS receives different SecretBuffer,terminal extra/reordered,PASS,ProductionReplayBackend identity gate and success test
candidate schema,synthetic schema reaches durable candidate path,never published,PASS,test_success_report_is_truthful_and_ordered
report truth,attempt runtime live mode,mode fixed injected_offline_test,PASS,source review and hard-disable tests
preflight,external holder,STOP before backend,PASS,test_preflight_protected_input_open_claim_and_e4_fail_closed
protected input,loader failure,STOP config boundary and restore,PASS,test_preflight_protected_input_open_claim_and_e4_fail_closed
USB open,absent target,STOP cleanup/restore once,PASS,test_preflight_protected_input_open_claim_and_e4_fail_closed
USB claim,injected claim failure,STOP cleanup/restore once,PASS,test_preflight_protected_input_open_claim_and_e4_fail_closed
USB identity,unexpected re-enumeration,terminal STOP,PASS,test_unexpected_reenumeration_stops
USB completion,partial OUT,ambiguous terminal STOP,PASS,test_open_claim_wrong_identity_partial_out_timeout_and_malformed_fail_closed
A2 through D1,every phase failure,no next phase and no retry,PASS,test_required_phase_failures_stop_without_next_command
0x90,wrong length hash finalizer DAC or manifest,STOP before transport,PASS,test_config90_boundary_length_hash_fail_closed_with_report
TLS,wrong PSK suite identity version alert timeout or MAC,terminal and no retry,PASS,D232 TLS failures plus D233 TLS tests
cleanup,repeat cleanup,resource release/close/exit bounded once,PASS,test_open_claim_identity_chunking_partial_read_and_cleanup_once
checkpoint publication,injected write failure,restore still once and final abort durable,PASS,test_checkpoint_failure_still_restores_and_final_report_is_durable
final report publication,injected write failure,checkpoint survives and restore runs once,PASS,test_final_publication_failure_keeps_checkpoint_and_restores
restore,injected fprintd restore failure,checkpoint survives and final records failure,PASS,test_restore_failure_keeps_checkpoint_and_publishes_final_failure
hard-disable,CLI env config backend enablement,raise before USB and shipped open count zero,PASS,test_all_runtime_enablement_attempts_keep_usb_open_zero
source seal,direct LibusbSystemApi init,raise before libusb_init,PASS,test_real_libusb_api_is_sealed_before_init
allowlist,D4 E0 A4 F0 F4 build attempt,not representable,PASS,test_d4_and_reordering_are_not_representable
retry,extra or reordered command,terminal no retry,PASS,test_extra_reordered_and_retry_attempts_are_rejected
TLS count,second handshake,max one and terminal,PASS,test_real_tls12_psk_00a8_loopback_fragmented_and_no_second_handshake
application data,post-handshake API search,no reachable API,PASS,static source review
invasive recovery,reset detach clear-halt provisioning search,absent/forbidden,PASS,static source review
license provenance,GPL-derived source comparison,no copied implementation,PASS,recovery provenance and source review
