claim,attack_or_counterexample,evidence_or_test,result,residual_boundary
live hard-disabled,CLI environment config or subclass enables transport,test_live_flag_and_environment_die_before_backend_or_usb; test_non_exact_backend_type_is_rejected; static import/path audit,PASS,D233 still requires source patch and separate review
no accidental USB open,import or call libusb/pyusb or open /dev/bus/usb,static source audit finds no transport symbols; report usb_open_count=0,PASS,D232 has no live backend
exact command bytes,wrong A2 70 or D1 checksum,golden vectors for A2 0114; 70 1400; D1 a00600a6d103000000d7,PASS,target response validation remains hash-pinned
D4 forbidden,D4 appears in allowlist or sequence,build_a0 rejects D4; sequence audit contains no D4,PASS,D4 remains forbidden absent target capture evidence
maintenance unreachable,E0 A4 F0 F4 IAP ClearApp or provisioning callable,forbidden control set and static sequence audit,PASS,no replacement PSK path
monotonic sequence,skip or reordered script reaches later phase,reordered and duplicate-step synthetic tests stop at first mismatch,PASS,no application retry
E4 mandatory,path enters A2 without E4 match,E4 mismatch test command_count=1 and STOP,PASS,no TLS without all prior states
DAC order exact,register order swapped but config accepted,DAC order/correlation negative publishes STOP before command,PASS,pins 0220 0236 0238 023a
0x90 provenance valid,wrong manifest hash length body hash finalizer or correlation accepted,protected manifest/config loader plus wrong provenance/length/hash tests,PASS,raw target body remains local and excluded
PSK fail-closed,short long symlink or fallback secret accepted,31/33/symlink tests publish STOP; source has no fallback,PASS,real store deliberately not opened in D232
secret lifetime bounded,secret remains after pass or failure,in-place SecretBuffer zeroization and all accepted backend finally paths,PASS,Python cannot guarantee compiler-level dead-store behavior
TLS gate complete,D1 malformed or TLS starts early,D1 wrong response and ordering tests; ClientHello suite/version parser,PASS,real TLS handshake not performed or authorized
no hidden retry,timeout or ambiguity repeats a command,A2 timeout; extra/duplicate scripted step tests,PASS,retry_count=0
durable redacted report,failure loses report or leaks secret/config,mode 0600 atomic publication and negative report assertions,PASS,filesystem exhaustion remains an external operational failure
cleanup exactly once,error double-releases or skips cleanup,all accepted-backend happy/negative reports assert cleanup_count=1,PASS,rejected non-backend acquires no resource and calls no untrusted method
no races or threads,implementation spawns thread/process,static import and call audit; synchronous state machine,PASS,future D233 preflight must revalidate topology
signal governance,pending signal suppresses final result,preflight requires signals_blocked_before_transport and report path ready; finally publishes,PASS,D232 validates supplied evidence only; D233 must implement OS integration
target corpus coverage,claim depends on two packet captures,manifest and provenance record packet_level_capture_count=1 and first_capture definitively lost,PASS,coverage is explicitly corpus-bounded

