phase,operation,evidence_source,observed_or_static_timing,proposed_budget,success_condition,on_timeout_or_mismatch,automatic_retry,possible_state,forbidden_followup
preflight,identity and hash checks,D230 manifest and canonical evidence,offline/read-only,operator-reviewed before open,all identifiers exact,abort before USB open,no,unchanged,any protocol command
A2-1,sensor-only reset A2,static builder 300/500 ms; capture pkt58,"ACK 0.556 ms; typed 27.062 ms","ACK 500 ms; typed 1000 ms; one OUT",exact ACK and typed A2 allowlist,stop I/O and observe enumeration,no,reset may have completed,blind resend or next command
82,chip register read,capture packet65,ACK 1.550 ms typed 3.447 ms,"ACK 250 ms; typed 500 ms",exact typed 82 response length/status,abort,no,device live unknown,continue to A6
A6,typed OTP/factory read,capture packet70,ACK 0.481 ms typed 17.308 ms,"ACK 250 ms; typed 750 ms",exact allowed A6 structure and identity checks,abort,no,device live unknown,continue to A2-2
A2-2,sensor-only reset A2,static builder 300/500 ms; capture pkt77,"ACK 17.780 ms; typed 44.703 ms","ACK 500 ms; typed 1000 ms; one OUT",exact ACK and typed A2 allowlist,stop I/O and observe enumeration,no,reset may have completed,blind resend or 0x70
70,set mode idle,static 200 ms; capture pkt82,ACK 1.813 ms no typed response,"ACK 500 ms; settle ceiling 50 ms",exact ACK 70 then planned settle,abort before DAC,no,mode may be idle,any 0x80
80-0220,DAC register write,capture pkt87; helper timeout 100 ms,ACK 7.333 ms,ACK 250 ms,exact ACK 80,abort,no,partial DAC,remaining writes
80-0236,DAC register write,capture pkt90; helper timeout 100 ms,ACK 0.437 ms,ACK 250 ms,exact ACK 80,abort,no,partial DAC,remaining writes
80-0238,DAC register write,capture pkt94; helper timeout 100 ms,ACK 0.413 ms,ACK 250 ms,exact ACK 80,abort,no,partial DAC,remaining writes
80-023a,DAC register write,capture pkt99; helper timeout 100 ms,ACK 20.073 ms,ACK 250 ms,exact ACK 80,abort,no,partial DAC,0x90
90,configuration download,capture pkt103,"ACK 2.478 ms; typed 3.245 ms","ACK 500 ms; typed 1000 ms",exact ACK and typed 90 success,abort,no,config may be partial,D1
D1,TLS trigger,capture pkt114,ClientHello B0 2.099 ms,first B0 1000 ms,well-formed expected TLS ClientHello in B0,close and abort,no,pre-TLS configured,repeated D1
TLS,PSK handshake,capture baseline through pkt132,~47.2 ms from D1 through last host Finished flight,handshake 3000 ms total,strict TLS1.2/00a8/Client_identity transcript,alert/close/abort,no,session half-open,fallback key suite or permissive parsing
post-abort,enumeration observation,planned D233 recovery,no D231 live sample,5000 ms passive observation,known VID/PID and exact identity,operator escalation,no,unknown,automatic USB reset/IAP
restore,host service and state verification,canonical operator practice,no D231 live sample,operator-reviewed bounded service timeout,service healthy and pre/post identity unchanged,leave evidence and escalate,no,host/device uncertain,provisioning or repair writes
