id,hypothesis,method,result,evidence
F01,USB can open before preflight,offline call-order and open-failure tests,refuted,preflight failures show init absent
F02,normal shipped main reaches sysfs or libusb,direct main/module tests,refuted,capability 0 and open 0
F03,--live enables hardware,argv test and module invocation,refuted,argument rejected open 0
F04,--force enables hardware,argv test and module invocation,refuted,argument rejected open 0
F05,environment enables live,LIVE/D235_LIVE/HOME cases,refuted,source-sealed open 0
F06,config or backend selects live,direct entrypoint cases,refuted,rejected open 0
F07,HOME changes protected paths,system-default path assertions,refuted,all production paths absolute
F08,USB selector accepts ambiguity,two-target synthetic sysfs test,refuted,ContractError before open
F09,USB selector opens the target,synthetic sysfs selector inspection,refuted,sysfs plus lstat only
F10,protected input follows symlink,D232 loader tests plus canonical PE symlink test,refuted,regular non-symlink gates
F11,protected input has metadata TOCTOU,D232 fd inode revalidation tests,refuted,lstat/open/fstat identity gate
F12,PSK is loaded twice,provider counters on happy path,refuted,load count exactly 1
F13,config comes from fallback,path contract and source inspection,refuted,one fixed path no scan/fallback
F14,different PSK reaches TLS,happy E2E identity assertion,refuted,same_validated_psk_used_by_tls true
F15,E4 mismatch permits A2,E4 negative E2E,refuted,command count 1 TLS count 0
F16,USB open/claim errors are generic,negative E2E and failure-domain field,refuted,D236_ABORTED_USB_TRANSPORT
F17,protocol phase errors are ambiguous,12 phase subtests,refuted,phase-specific terminal families
F18,TLS Bad Record MAC retries,negative TLS E2E,refuted,handshake count 1 retry 0
F19,D4/E0/A4/F0/F4 are reachable,static forbidden-control and existing D232 tests,refuted,builders reject all five
F20,post-handshake application data exists,source/state-machine inspection,refuted,no application-data API or phase
F21,checkpoint failure skips restore,E2E failing checkpoint test,refuted,restore attempted and final survives
F22,restore failure erases evidence,E2E failing restore test,refuted,checkpoint and final both survive
F23,signal interruption opens USB,E2E signal failure test,refuted,init absent and durable terminal
F24,cleanup is skipped or doubled,happy and every-phase tests,refuted,cleanup count exactly 1
F25,a second run or retry is exposed,state-machine and entrypoint inspection,refuted,no loop retry or runtime live switch
F26,offline test seam accepts shipped system dependencies,guard substitution tests,refuted,SystemOsFacade/LibusbSystemApi/root provider rejected
F27,report directory may be symlink or broad mode,SystemOsFacade source inspection,refuted,lstat root owner mode 0700 required
F28,canonical PE is executed,runtime reference inspection,refuted,PE parsed strictly as data
F29,raw secret/config/biometric data reaches report,report assertions and bundle scan,refuted,redaction flags false payload absent
F30,D235 changed exact OEM state machine,SHA-256 and source diff audit,refuted,D232 core hash unchanged
