component,D241_value_or_behavior,D242_value_or_behavior,D243_value_or_behavior,d241_d243_diff,reached_before_timeout,behavior_relevant,wire_relevant,host_timing_relevant,candidate_status,evidence
launcher_shell,"D241 namespace/basic seal gate","D242 namespace/expanded closure gate","D243 namespace/expanded dependency+closure gate",true,true,true,false,false,intended_fail_closed_host_change,"historical launcher diff"
cwd,"canonical repository required","canonical repository required","canonical repository required",false,true,false,false,false,equivalent,"launcher source"
PYTHONPATH,"repository prepended","repository prepended","repository prepended",false,true,false,false,false,equivalent,"launcher source"
environment_exported,"inherited plus PYTHONDONTWRITEBYTECODE","inherited plus PYTHONDONTWRITEBYTECODE","inherited plus PYTHONDONTWRITEBYTECODE",false,true,false,false,false,equivalent,"launcher source"
artifact_integrity_gate,"pins D241 runtime","pins D242 runtime and dependencies","pins D243 runtime and D241/D242 dependencies",true,true,true,false,false,intended_fail_closed_host_change,"launcher/dependency gate diff"
preflight,"D241 direct reviewed preflight","D242 wrapper over D241 preflight","D243 wrapper over D241 preflight plus dependency gate",true,true,true,false,false,intended_fail_closed_host_change,"preflight source diff"
result_directory_preparation,"root 0700 d241-results","root 0700 d242-results","root 0700 d243-results",true,true,true,false,false,intended_namespace_change,"launcher and ProductionRuntimePaths"
marker_semantics,"atomic D241 single-use marker","atomic D242 single-use marker; old benign","atomic D243 single-use marker; old benign",true,true,true,false,false,intended_namespace_change,"launcher/preflight/entrypoint"
fprintd_stop_timing,"ProductionOsPreflight.acquire after marker","same","same",false,true,false,false,false,equivalent,"backend source diff has no ProductionOsPreflight hunk"
signal_mask_timing,"block before transport open","same","same",false,true,false,false,false,equivalent,"ProductionOsPreflight source identity"
USB_enumeration,"sysfs exact 27c6:5125","same","same",false,true,false,false,false,equivalent,"SystemUsbTargetSelector source"
target_selection,"exactly one target","same","same",false,true,false,false,false,equivalent,"entrypoint source"
bus_address_port_path_binding,"identity includes bus/address/port path and revalidation","same","same",false,true,false,false,false,equivalent,"UsbIdentity/selector/transport"
libusb_init,"single init","single init","single init",false,true,false,false,false,equivalent,"LibusbSystemApi/transport"
open,"single open_exact","single open_exact","single open_exact",false,true,false,false,false,equivalent,"transport_open source"
claim,"interface 0 once","interface 0 once","interface 0 once",false,true,false,false,false,equivalent,"transport_open source"
interface_endpoint,"interface 0 OUT 0x01 IN 0x81","same","same",false,true,false,false,false,equivalent,"constants/source"
timeout_constants,"E4 1000 ms monotonic deadline","same","same",false,true,false,false,false,equivalent,"core and backend source"
transport_constructor,"lifecycle counters","adds bulk telemetry counters","same D242 telemetry counters",true,true,false,false,false,observability_only,"backend diff"
write_frame_validation,"length bound only","length bound only","adds A0/B0 wrapper length/tag validation",true,true,false,false,false,canonical_e4_passes_same_branch,"source diff plus byte-exact test"
A0_bulk_OUT_requested_size,"short final logical chunk","generic fixed-64 zero padded","short final logical chunk",false,true,true,true,false,d242_regression_fully_removed,"runtime regression tests and source diff"
A0_bulk_OUT_completion_semantics,"completion equals logical chunk","completion equals padded 64","completion equals logical chunk",false,true,true,true,false,d242_regression_fully_removed,"write_frame source"
read_frame,"direct bulk_in","counting wrapper then same bulk_in","counting wrapper then same bulk_in",true,true,false,false,false,observability_only,"backend diff"
bulk_IN_requested_size,"64 for header then bounded remaining","same","same",false,true,false,false,false,equivalent,"read_frame source"
bulk_IN_timeout,"remaining E4 deadline","same","same",false,true,false,false,false,equivalent,"read_frame source"
frame_assembly,"declared-length buffered assembly","same","same",false,true,false,false,false,equivalent,"read_frame source"
E4_serializer,"expected_request_frames/build_a0","same pinned core","same pinned core",false,true,false,false,false,equivalent,"core SHA-256 identity"
logical_E4_frame,"a00c00ace40900030002bb00000000fd","same","same",false,true,false,true,false,equivalent,"byte-exact verification"
A0_declared_length,"0x000c body; total 16","same","same",false,true,false,true,false,equivalent,"logical frame parse"
A0_header_checksum,"a0 0c00 ac; body checksum fd","same","same",false,true,false,true,false,equivalent,"logical frame parse"
ACK_response_lifecycle,"two E4 frames expected","same","same",false,true,false,false,false,not_reached_after_in_timeout,"RESPONSE_COUNTS/source and live report"
exception_translation,"UsbTimeout to timeout; no retry","same","same",false,true,false,false,false,equivalent,"ProductionReplayBackend.exchange"
cleanup_timing,"finally exactly once","same","same",false,true,false,false,false,equivalent,"core/backend source and reports"
report_mapping,"D241 schema/fields","D242 schema plus flight telemetry","D243 schema plus D242/D243 fields",true,false,true,false,false,post_abort_observability_only,"entrypoint diff"
B0_transport,"short final","fixed-64 zero initialized","fixed-64 zero initialized",true,false,true,true,false,not_reached_live_D242_D243,"backend diff and live reports"
TLS_server_record_pacing,"none","10 ms per server record","10 ms per server record",true,false,true,false,true,not_reached_live_D242_D243,"B0TlsBridge source and live reports"
