CLAIM,FALSIFIER,SEARCH_METHOD,SEARCH_BOUNDARY,RESULT
no safe arbitrary resident read path,hidden opcode in recovered capture,enumerate every host A0/B0 frame and correlate next IN frame,255 USB packets; 52 host framed requests,"not found; 20 distinct A0 wire controls, no address+length request"
no safe arbitrary resident read path,32-bit flash address embedded in request,sliding LE32 scan for 0x08000000..0x080fffff plus structural review,all recovered A0 request bodies,"three windows only inside fixed 0x90 config; no field boundary, increment or proportional response"
no safe arbitrary resident read path,unused gfusb builder,classify all calls to A0 generic/no-ack and B0 builders by PE function ranges,65 call-sites in gfusb .text,none serializes host-controlled 32-bit MCU address into a typed read
no safe arbitrary resident read path,alternate USB request surface,"capture transfer census, descriptors, imports and 0x18005ddcc IO indirection","control, interrupt and bulk paths in recovered corpus",no vendor/class/debug/raw alternate path
no safe arbitrary resident read path,APP handler copies from host pointer,16-family dispatcher census and present-handler dataflow review,"mapped APP families 8,9,A,D,E,F plus indirect slots",no APP-present arbitrary address+length response path
no safe arbitrary resident read path,flash verify returns bytes,"F0/F4 builder, strings and APP F-family review",firmware update/check flow,status/check/reset only; no raw flash response and mutating preconditions
no safe arbitrary resident read path,E4 is a generic memory peek,host serialization/consumer and E-family selector review,production_read_mcu and its classified callers,selector protocol with parsed typed result; no MCU address serializer
no safe arbitrary resident read path,0x82 register address aliases MCU flash,reconstruct exact LE16 register+count payload and APP family,ChipRegRead 0x180059488 / family 8,16-bit register namespace cannot encode 0x080272e0 or 0x0802b8f4
negative proof coverage sufficient for inventoried corpus,question-relevant unclassified host builder,function-range census around all known transport builders,gfusb static corpus,none; dynamic subtypes classified by enclosing API role
negative proof coverage sufficient for inventoried corpus,lost capture contains unique opcode,cannot inspect definitively lost operator-designated first capture,one recovered capture only; historical metadata is not substituted for packet census,"unresolvable coverage limitation; does not alter local-corpus claim, and is an explicit reopening condition"
device can never expose arbitrary read,resident code has undocumented command,scope check,resident bodies below 0x0802c000 absent,claim rejected as too broad; D230 conclusion is explicitly corpus-bounded
