HYPOTHESIS,SUPPORTING_EVIDENCE,CONTRADICTING_EVIDENCE,FALSIFIER,STATUS,ACTION_IF_PROVEN
H1_SERVERHELLO_STRUCTURAL_MISMATCH,none,D175 and D241 record version/type/payload length match; offline OpenSSL fixture matches suite/session/ext shape,byte-level primary D241 capture, FALSIFIED,none
H2_SERVERHELLODONE_STRUCTURAL_MISMATCH,none,D175 and D241 both one TLS handshake record payload length 4,byte-level primary D241 capture,FALSIFIED,none
H3_B0_RECORD_GROUPING_MISMATCH,none,D175 and D241 both map ServerHello and ServerHelloDone one-to-one into two B0 wrappers,byte-level primary D241 capture,FALSIFIED,none
H4_USB_SEGMENTATION_MISMATCH,D175 and Windows static path submit fixed 64-byte chunks; D241 submitted 64|26 then 13,none,corrected offline chunks differ from 64|64 and 64,PROVEN,zero-initialize non-semantic staging tail and require every 64-byte completion
H5_INTER_RECORD_PACING_MISMATCH,D175 measured 21.933 ms; Windows send callback calls Sleep(10); D241 had no pacing,actual D175 gap includes scheduling overhead,corrected bridge lacks one 10 ms pacing event per record,PROVEN,pace 10 ms after each emitted TLS record
H6_TIMEOUT_TOO_SHORT,none,D175 ClientKeyExchange begins 13.338 ms after ServerHelloDone completion versus D241 3000 ms budget,a historical accepted session needing more than 3000 ms,FALSIFIED,do not increase timeout
H7_LOCAL_OPENSSL_FATAL_NOT_EXPOSED,none,D241 emitted the full initial flight then entered read; synchronous fatal would exit before polling,a hidden asynchronous fatal after emission,POSSIBLE,retain explicit fatal/WANT counters in D242 report
H8_DEVICE_REJECTED_SERVER_FLIGHT_FOR_UNKNOWN_REASON,no ClientKeyExchange after D241 flight,proven segmentation and pacing mismatches provide concrete reasons,device sends no ClientKeyExchange after corrected contract,POSSIBLE,stop and reassess only after separately authorized corrected run
H9_HOST_STOPPED_BULK_IN_POLLING_AFTER_SERVER_FLIGHT,legacy backend label misleading,control flow and timeout terminal prove post-flight read attempt; D242 fixture counts one timed-out read,no post-flight read call in reviewed flow,FALSIFIED,none
H10_B0_COALESCING_MISMATCH,none,D175 uses two B0 wrappers and D241 uses two B0 wrappers,primary capture showing one coalesced B0,FALSIFIED,none
H11_B0_WRAPPER_LENGTH_OR_CHECKSUM_ERROR,none,build_b0 gives exact 90/13 wrappers with valid length/tag and D242 tests validate them,raw D241 server B0 bytes showing mismatch,FALSIFIED,none
H12_D239_52_VS_D241_47_LENGTH_SEMANTICS_MISMATCH,52 equals full TLS record length and 47 is its declared payload; producer functions are traced,none,response_body_length measuring an object other than parse_b0 TLS bytes,FALSIFIED,record confirmed classification
H13_SERVER_FLIGHT_NOT_FULLY_TRANSMITTED,legacy labels and absent per-transfer live counters,D241 timeout path is reachable only after both write_frame calls returned full requested length; errors map differently,raw libusb evidence contradicting returned lengths,FALSIFIED,add explicit D242 submit/complete counters
